"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.207558333E-1,1.713627391E-2,2.516144276E0,-6.736069918E-2,2.517104116E0
6.307758333E-1,1.383901387E-2,2.435467005E0,-6.821717322E-2,2.436461498E0
6.407958333E-1,1.096957363E-2,2.349067688E0,-7.118918747E-2,2.350171746E0
6.508168333E-1,2.907386050E-3,2.265038013E0,-7.092314214E-2,2.266149983E0
6.608368333E-1,1.604969497E-3,2.180993795E0,-7.389131188E-2,2.182245733E0
6.708568333E-1,-5.612457753E-4,2.091557980E0,-7.346680760E-2,2.092847933E0
6.808768333E-1,3.396404441E-3,2.021675348E0,-6.101217866E-2,2.022598634E0
6.908978333E-1,-6.428117631E-4,1.893484116E0,-7.734108716E-2,1.895063100E0
7.009178333E-1,-9.184467606E-3,1.768331647E0,-7.404951006E-2,1.769905223E0
7.109378333E-1,-5.869630724E-3,1.571146369E0,-7.133868337E-2,1.572776072E0
7.209578333E-1,-1.888431609E-2,1.434198141E0,-6.444597244E-2,1.435769553E0
7.309788333E-1,-1.623127609E-2,1.348722935E0,-6.544759125E-2,1.350407493E0
7.409988333E-1,-1.947185583E-2,1.245961785E0,-6.126402691E-2,1.247619014E0
7.510188333E-1,-2.065456659E-2,1.140436530E0,-5.724238604E-2,1.142059009E0
7.610388333E-1,-1.875803620E-2,1.024152279E0,-5.161140487E-2,1.025623465E0
7.710588333E-1,-1.600698940E-2,9.113610387E-1,-4.714208841E-2,9.127198601E-1
7.810798333E-1,-1.983111352E-2,7.907241583E-1,-4.380534589E-2,7.921848748E-1
7.910998333E-1,-1.882949844E-2,6.787981987E-1,-4.072273895E-2,6.802792706E-1
8.011198333E-1,-1.840918697E-2,5.634853840E-1,-3.836289793E-2,5.650897168E-1
8.111398333E-1,-1.220668573E-2,4.445177019E-1,-3.273510560E-2,4.458885260E-1
8.211608333E-1,-1.463818178E-2,3.084015250E-1,-2.743433416E-2,3.099651911E-1
8.311808333E-1,-1.048524864E-2,1.560197175E-1,-2.198550664E-2,1.579096424E-1
8.412008333E-1,-1.106404327E-2,-9.739935398E-3,-2.048766986E-2,2.523933460E-2
8.512208333E-1,-1.063554082E-2,-1.723349690E-1,-1.330112852E-2,1.731744101E-1
8.612408333E-1,-1.147968881E-2,-3.120740354E-1,-1.147055812E-2,3.124956968E-1
8.712618333E-1,-7.463376038E-3,-4.354529381E-1,-4.836358130E-3,4.355437448E-1
8.812818333E-1,-6.519494578E-3,-5.551322699E-1,-2.018838655E-3,5.551742218E-1
8.913018333E-1,-3.496274119E-3,-6.735348701E-1,4.779945593E-3,6.735609053E-1
9.013218333E-1,-3.624988254E-3,-7.970295548E-1,9.747724049E-3,7.970974031E-1
9.113428333E-1,-1.939473674E-3,-9.178355932E-1,1.356749609E-2,9.179379144E-1
9.213628333E-1,4.559161607E-3,-1.038538575E0,2.134908363E-2,1.038767992E0
9.313828333E-1,3.062731586E-3,-1.159732103E0,2.442583442E-2,1.159993342E0
9.414028333E-1,5.552849732E-3,-1.277345061E0,3.046669066E-2,1.277720415E0
9.514238333E-1,6.820514798E-3,-1.397543669E0,3.481430188E-2,1.397993870E0
9.614438333E-1,5.299937446E-3,-1.517350674E0,3.617078066E-2,1.517790987E0
9.714638333E-1,5.462390371E-3,-1.659629226E0,3.843154013E-2,1.660083127E0
9.814838333E-1,6.962079555E-3,-1.763293624E0,4.038231820E-2,1.763769715E0
9.915038333E-1,4.370823503E-3,-1.867024541E0,4.137754068E-2,1.867488110E0
1.001524833E0,9.394699708E-3,-1.977030873E0,4.313862324E-2,1.977523774E0
1.011544833E0,6.772285327E-3,-2.077309608E0,4.053538293E-2,2.077716100E0
1.021564833E0,6.302926224E-3,-2.176845312E0,4.175697267E-2,2.177254897E0
1.031584833E0,5.416093860E-3,-2.267438412E0,4.528006911E-2,2.267896949E0
1.041605833E0,2.967573237E-3,-2.358213186E0,4.438694194E-2,2.358632748E0
1.051625833E0,5.880388198E-4,-2.449244738E0,4.550120980E-2,2.449667425E0
1.061645833E0,3.414821811E-3,-2.531842470E0,4.637168348E-2,2.532269395E0
1.071665833E0,2.457947936E-3,-2.609576464E0,4.743295163E-2,2.610008668E0
1.081686833E0,-1.524824183E-4,-2.679830790E0,4.870727658E-2,2.680273397E0
1.091706833E0,3.187654074E-3,-2.751190186E0,4.910408705E-2,2.751630209E0
1.101726833E0,4.169049207E-3,-2.807289600E0,5.056329817E-2,2.807748017E0
1.111746833E0,6.403973792E-3,-2.771359205E0,5.274389312E-2,2.771868463E0
1.121767833E0,2.565147122E-3,-2.816289425E0,5.152646825E-2,2.816761914E0
1.131787833E0,3.860242432E-3,-2.829751968E0,5.459549278E-2,2.830281218E0
1.141807833E0,5.525993183E-3,-2.844134569E0,5.431331322E-2,2.844658489E0
1.151827833E0,2.540056827E-3,-2.868233919E0,5.342674628E-2,2.868732592E0
1.161847833E0,7.791790180E-3,-2.859989405E0,5.326209217E-2,2.860495929E0
1.171868833E0,1.454531914E-3,-2.873510599E0,5.173050985E-2,2.873976570E0
1.181888833E0,3.802395193E-3,-2.861415625E0,5.195934325E-2,2.861889867E0
1.191908833E0,2.217547968E-3,-2.860046625E0,5.334338918E-2,2.860544901E0
1.201928833E0,5.505956244E-3,-2.837896824E0,5.572077632E-2,2.838449137E0
1.211949833E0,4.032695666E-3,-2.823180199E0,5.222697556E-2,2.823666119E0
1.221969833E0,2.496480476E-3,-2.794857979E0,5.336985737E-2,2.795368615E0
1.231989833E0,-6.377937971E-4,-2.816500187E0,4.907604307E-2,2.816927789E0
1.242009833E0,-4.004888609E-2,-2.867314577E0,2.034097537E-2,2.867666395E0
1.252030833E0,2.558072470E-2,-2.652253151E0,6.328231841E-2,2.653131320E0
1.262050833E0,-5.577394273E-3,-2.633443594E0,7.104016095E-2,2.634407519E0
1.272070833E0,7.764776237E-3,-2.552435398E0,7.381197810E-2,2.553514238E0
1.282090833E0,-3.389487509E-3,-2.484335899E0,7.815176994E-2,2.485567148E0
1.292111833E0,-2.876562765E-3,-2.414307117E0,8.206741512E-2,2.415703250E0
1.302131833E0,-4.485075362E-3,-2.330450535E0,8.478952944E-2,2.331996800E0
1.312151833E0,-7.162883878E-3,-2.241848230E0,8.958108723E-2,2.243648717E0
1.322171833E0,-1.448537223E-2,-2.152438879E0,9.191450477E-2,2.154449171E0
1.332192833E0,-2.208550088E-2,-2.062202454E0,9.164526314E-2,2.064355973E0
1.342212833E0,-2.985636890E-2,-1.980969548E0,9.614924341E-2,1.983526262E0
1.352232833E0,-3.118528612E-2,-1.887997270E0,9.950109571E-2,1.890874581E0
1.362252833E0,-3.799571469E-2,-1.803422451E0,1.072007492E-1,1.807005316E0
1.372273833E0,-4.279259965E-2,-1.698983908E0,1.185676530E-1,1.703653666E0
1.382293833E0,-1.155180391E-2,-1.498158455E0,1.314817071E-1,1.503961316E0
1.392313833E0,-1.606426388E-2,-1.324810147E0,1.366335899E-1,1.331934204E0
1.402333833E0,-5.082808435E-3,-1.201068163E0,1.072943956E-1,1.205861789E0
1.412354833E0,-1.773442142E-2,-1.112574458E0,8.189422637E-2,1.115725369E0
1.422374833E0,-2.351680398E-2,-9.673082829E-1,8.841281384E-2,9.716250202E-1
1.432394833E0,-1.361011155E-2,-8.329808116E-1,9.959463030E-2,8.390240509E-1
1.442414833E0,-1.398462430E-2,-6.973635554E-1,9.974358231E-2,7.045993758E-1
1.452435833E0,-1.535934769E-2,-5.679411292E-1,1.027052775E-1,5.773572636E-1
1.462455833E0,-1.691987738E-2,-4.414581060E-1,1.004243642E-1,4.530525296E-1
1.472475833E0,-1.710496657E-2,-3.058041334E-1,1.004675031E-1,3.223390561E-1
1.482496250E0,-1.413923502E-2,-1.762778610E-1,9.770216793E-2,2.020384020E-1
1.492517250E0,-8.081342094E-3,-3.893304616E-2,9.678071737E-2,1.046307671E-1
1.502537250E0,-6.052519195E-3,9.382630885E-2,9.308470786E-2,1.323056010E-1
1.512557250E0,5.566476611E-4,2.287582904E-1,8.847770840E-2,2.452732561E-1
1.522577250E0,2.498285146E-3,3.597888350E-1,8.431047946E-2,3.695436432E-1
1.532598250E0,7.608358748E-3,4.895313680E-1,7.284504175E-2,4.949800476E-1
1.542618250E0,1.526888553E-2,6.213235259E-1,6.223458797E-2,6.246192493E-1
1.552638250E0,2.113263309E-2,7.485579252E-1,5.314628780E-2,7.507396909E-1
1.562658250E0,2.719487064E-2,8.758492470E-1,3.798631951E-2,8.770943079E-1
1.572679250E0,3.216086328E-2,1.004940152E0,2.468196675E-2,1.005757540E0
1.582699250E0,3.743861988E-2,1.132648349E0,8.679185063E-3,1.133300163E0
1.592719250E0,4.603290558E-2,1.256161809E0,-8.884096518E-3,1.257036374E0
1.602739250E0,5.172158405E-2,1.393499494E0,-2.508075722E-2,1.394684554E0
1.612760250E0,5.292187259E-2,1.512066364E0,-4.273538664E-2,1.513595629E0
1.622780250E0,5.533657596E-2,1.627527237E0,-5.823627487E-2,1.629508671E0
1.632800250E0,5.945355445E-2,1.737070799E0,-7.082211226E-2,1.739530240E0
1.642820250E0,5.839442089E-2,1.843587756E0,-8.230698109E-2,1.846347790E0
1.652841250E0,6.174920127E-2,1.954126835E0,-9.216573834E-2,1.957273403E0
1.662861250E0,6.221705675E-2,2.048935890E0,-1.021491587E-1,2.052423858E0
1.672881250E0,6.024125591E-2,2.144989729E0,-1.102201343E-1,2.148664335E0
1.682902250E0,6.130484492E-2,2.240931511E0,-1.129283756E-1,2.244612470E0
1.692922250E0,5.450659245E-2,2.336481094E0,-1.183969080E-1,2.340113822E0
1.702942250E0,5.261072889E-2,2.424049377E0,-1.202028170E-1,2.427597988E0
1.712962250E0,5.505577847E-2,2.505608320E0,-1.232081950E-1,2.509239816E0
1.722983250E0,5.010116845E-2,2.582271338E0,-1.257904172E-1,2.585818752E0
1.733003250E0,4.737329111E-2,2.655040741E0,-1.314320564E-1,2.658713966E0
1.743023250E0,4.104958847E-2,2.730364799E0,-1.373889744E-1,2.734127418E0
1.753043250E0,4.662704840E-2,2.791230440E0,-1.472839564E-1,2.795502462E0
1.763064250E0,5.962315574E-2,2.819091082E0,-1.603865921E-1,2.824279254E0
1.773084250E0,6.856898218E-2,2.792809963E0,-1.593793780E-1,2.798194236E0
1.783104250E0,5.362230912E-2,2.873488188E0,-1.541581154E-1,2.878119949E0
1.793124250E0,6.478974223E-2,2.839051008E0,-9.195678681E-2,2.841278654E0
1.803145250E0,4.801867157E-2,2.899748802E0,-4.879474640E-2,2.900556815E0
1.813165250E0,6.515425444E-2,2.871111870E0,-9.724909812E-2,2.873497143E0
1.823185250E0,1.955403388E-2,2.802302599E0,-8.441032469E-2,2.803641796E0
1.833205250E0,3.500995412E-2,2.812329054E0,-8.412590623E-2,2.813804821E0
1.843226250E0,3.031489626E-2,2.796831369E0,-7.321390510E-2,2.797953713E0
1.853246250E0,3.659649193E-2,2.767800808E0,-6.393518299E-2,2.768781018E0
1.863266250E0,3.555325791E-2,2.753995657E0,-6.076966971E-2,2.754895473E0
1.873287250E0,3.373884782E-2,2.719813347E0,-6.004901975E-2,2.720685362E0
1.883307250E0,3.528191894E-2,2.682919264E0,-6.039833277E-2,2.683830946E0
1.893327250E0,4.038107395E-2,2.665858269E0,-5.504111946E-2,2.666732170E0
1.903347250E0,3.498236835E-2,2.622727633E0,-5.537440628E-2,2.623545373E0
1.913368250E0,3.289125487E-2,2.577485323E0,-5.974332243E-2,2.578387420E0
1.923388250E0,2.918175608E-2,2.529307604E0,-6.270311773E-2,2.530252993E0
1.933408250E0,2.605680190E-2,2.455301046E0,-6.189058349E-2,2.456219174E0
1.943428250E0,2.603692003E-2,2.374408007E0,-6.081576645E-2,2.375329422E0
1.953449250E0,2.075933293E-2,2.295504332E0,-6.384884566E-2,2.296485959E0
1.963469250E0,1.457321551E-2,2.209890366E0,-6.703856587E-2,2.210954992E0
1.973489250E0,1.343258377E-2,2.123685598E0,-6.779543310E-2,2.124809915E0
1.983510250E0,1.040961407E-2,2.041586637E0,-6.951056421E-2,2.042796142E0
1.993530250E0,6.897170562E-3,1.943497300E0,-7.015611976E-2,1.944775362E0
2.003550250E0,4.627870396E-3,1.845299721E0,-7.144965231E-2,1.846688260E0
2.013570250E0,4.848646466E-3,1.767623067E0,-6.478562206E-2,1.768816551E0
2.023591250E0,1.741558081E-4,1.651427269E0,-7.497435808E-2,1.653128310E0
2.033611250E0,-9.207627736E-3,1.544102430E0,-7.347819954E-2,1.545877143E0
2.043631250E0,-7.661130745E-3,1.366701603E0,-7.140252739E-2,1.368586967E0
2.053651250E0,-1.596806198E-2,1.203149080E0,-6.796225905E-2,1.205172833E0
2.063672250E0,-1.743151620E-2,1.092633843E0,-6.886823475E-2,1.094940824E0
2.073692250E0,-2.172533050E-2,9.980673194E-1,-6.518988311E-2,1.000429950E0
2.083712250E0,-2.090263367E-2,8.894340396E-1,-5.960285664E-2,8.916738930E-1
