"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.060416679E-3,-3.896727040E-2,1.111247540E0,-9.057351202E-2,1.115613331E0
1.608041667E-2,-4.277995601E-2,9.922813773E-1,-9.076463431E-2,9.973418046E-1
2.610141668E-2,-4.554724693E-2,8.781244159E-1,-9.248556942E-2,8.841553155E-1
3.612141668E-2,-4.613041133E-2,7.766690254E-1,-8.996027708E-2,7.832213234E-1
4.614141668E-2,-4.720526189E-2,6.633502245E-1,-8.598923683E-2,6.705639462E-1
5.616141668E-2,-4.347581044E-2,5.503270030E-1,-8.558825403E-2,5.586370070E-1
6.618141667E-2,-4.527930170E-2,4.232199192E-1,-8.548652381E-2,4.341350722E-1
7.620241668E-2,-4.781724140E-2,2.719124556E-1,-8.356121927E-2,2.884533748E-1
8.622241668E-2,-4.533144832E-2,1.207181215E-1,-8.056782931E-2,1.520492690E-1
9.624250000E-2,-4.482157528E-2,-4.507958144E-2,-7.806473225E-2,1.006739524E-1
1.062625000E-1,-4.357255250E-2,-2.183168828E-1,-7.693129778E-2,2.355403431E-1
1.162835000E-1,-4.102869332E-2,-3.617065549E-1,-7.466131449E-2,3.716036833E-1
1.263035000E-1,-3.513671458E-2,-4.831349850E-1,-7.107403874E-2,4.895973053E-1
1.363235000E-1,-2.978640981E-2,-6.119903922E-1,-6.467950344E-2,6.161192324E-1
1.463435000E-1,-2.684548125E-2,-7.366607189E-1,-6.210689247E-2,7.397614215E-1
1.563645000E-1,-1.792168617E-2,-8.559277654E-1,-5.353506282E-2,8.577875782E-1
1.663845000E-1,-1.188882813E-2,-9.822018147E-1,-4.617195576E-2,9.833583266E-1
1.764045000E-1,-3.964910749E-3,-1.105492353E0,-3.970750049E-2,1.106212344E0
1.864245000E-1,2.431735862E-3,-1.229305387E0,-2.804099023E-2,1.229627563E0
1.964445000E-1,1.439633127E-2,-1.351449013E0,-1.842110604E-2,1.351651222E0
2.064655000E-1,2.440901846E-2,-1.471070051E0,-8.296298794E-3,1.471295934E0
2.164855000E-1,3.072066791E-2,-1.594906569E0,1.644822070E-3,1.595203256E0
2.265055000E-1,3.857300058E-2,-1.730481982E0,7.470220793E-3,1.730927951E0
2.365255000E-1,4.101296514E-2,-1.861408710E0,2.019312792E-2,1.861969982E0
2.465465000E-1,4.362632707E-2,-1.956599236E0,3.136136383E-2,1.957336803E0
2.565665000E-1,4.828937724E-2,-2.067807436E0,3.876299411E-2,2.068734402E0
2.665865000E-1,5.524715036E-2,-2.173070669E0,4.785529152E-2,2.174299545E0
2.766065000E-1,5.603212863E-2,-2.274656296E0,5.732665211E-2,2.276068366E0
2.866265000E-1,5.853390321E-2,-2.368896723E0,6.349240243E-2,2.370470246E0
2.966475000E-1,5.817658827E-2,-2.464638472E0,7.023188472E-2,2.466325167E0
3.066675000E-1,5.865542591E-2,-2.551015139E0,7.649217546E-2,2.552835629E0
3.166875000E-1,5.398520827E-2,-2.634439468E0,8.044073731E-2,2.636220102E0
3.267075000E-1,5.320170522E-2,-2.715743065E0,8.611007780E-2,2.717628702E0
3.367285000E-1,5.454323068E-2,-2.792732477E0,9.283582121E-2,2.794807353E0
3.467485000E-1,4.981585220E-2,-2.854689360E0,9.552747756E-2,2.856721628E0
3.567685000E-1,4.480692744E-2,-2.922868013E0,1.000942737E-1,2.924924606E0
3.667885000E-1,4.989889264E-2,-2.864560366E0,1.044338942E-1,2.866897701E0
3.768085000E-1,4.097539186E-2,-2.922455311E0,1.089636609E-1,2.924773001E0
3.868295000E-1,3.375742584E-2,-2.923822641E0,1.082741693E-1,2.926021479E0
3.968495000E-1,3.355962411E-2,-2.946998358E0,1.063594371E-1,2.949107984E0
4.068695000E-1,2.731184661E-2,-2.961958170E0,1.035498008E-1,2.963893503E0
4.168895000E-1,2.544453740E-2,-2.962264776E0,1.010217592E-1,2.964096055E0
4.269105000E-1,1.863563433E-2,-2.969020844E0,9.570369124E-2,2.970621358E0
