"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.276458331E-3,-3.515454382E-2,1.178079605E0,-9.290678799E-2,1.182260153E0
1.729745834E-2,-3.691462800E-2,1.076476097E0,-9.147560596E-2,1.080986246E0
2.731745834E-2,-3.946183994E-2,9.548828602E-1,-9.036508948E-2,9.599606049E-1
3.733745833E-2,-4.195189476E-2,8.320639729E-1,-8.704812080E-2,8.376561299E-1
4.735745833E-2,-4.317995906E-2,7.040517330E-1,-8.676008880E-2,7.106902734E-1
5.737745833E-2,-4.487053305E-2,5.805167556E-1,-8.740776777E-2,5.887726099E-1
6.739845834E-2,-4.745351896E-2,4.668677747E-1,-8.201757073E-2,4.763866470E-1
7.741845834E-2,-5.026261881E-2,3.579857945E-1,-8.206684142E-2,3.706954632E-1
8.743845833E-2,-4.399793968E-2,2.343934774E-1,-7.927649468E-2,2.513182914E-1
9.745845833E-2,-4.549809918E-2,9.427578002E-2,-7.770495862E-2,1.303689393E-1
1.074784583E-1,-4.065328836E-2,-5.181598663E-2,-7.569071651E-2,1.003328007E-1
1.174994583E-1,-4.238274693E-2,-1.854693890E-1,-7.178572565E-2,2.033430153E-1
1.275194583E-1,-3.798765689E-2,-3.124215603E-1,-6.549783796E-2,3.214657994E-1
1.375394583E-1,-3.660627455E-2,-4.358460307E-1,-6.179897115E-2,4.417249084E-1
1.475589167E-1,-2.815196104E-2,-5.574766994E-1,-5.492377654E-2,5.608827190E-1
1.575799167E-1,-2.460356615E-2,-6.746822000E-1,-4.912181199E-2,6.769153262E-1
1.675999167E-1,-1.806405373E-2,-7.929665446E-1,-4.094144329E-2,7.942282120E-1
1.776199167E-1,-1.228632685E-2,-9.162157774E-1,-3.368991986E-2,9.169172892E-1
1.876399167E-1,-5.015010014E-3,-1.033631444E0,-2.351817302E-2,1.033911126E0
1.976599167E-1,2.267137635E-3,-1.150665879E0,-1.272278186E-2,1.150738448E0
2.076809167E-1,1.133886166E-2,-1.267177105E0,-2.171284985E-3,1.267229695E0
2.177009167E-1,2.078988776E-2,-1.389879346E0,8.681895211E-3,1.390061938E0
2.277209167E-1,2.518367581E-2,-1.524225354E0,1.597339474E-2,1.524517070E0
2.377409167E-1,2.967269905E-2,-1.626566887E0,2.456075698E-2,1.627022906E0
2.477609167E-1,3.175712004E-2,-1.733949065E0,3.378985822E-2,1.734569004E0
2.577819167E-1,3.823952004E-2,-1.840997219E0,4.162194952E-2,1.841864655E0
2.678019167E-1,3.807169572E-2,-1.941327453E0,4.837462679E-2,1.942303230E0
2.778219167E-1,4.062566534E-2,-2.038122892E0,5.285060033E-2,2.039212729E0
2.878419167E-1,3.892903775E-2,-2.135608435E0,5.763651058E-2,2.136740701E0
2.978619167E-1,3.892397508E-2,-2.226751804E0,6.680151075E-2,2.228093606E0
3.078829167E-1,3.764517605E-2,-2.314117908E0,6.885533780E-2,2.315448102E0
3.179029167E-1,3.678311035E-2,-2.396822453E0,7.564026862E-2,2.398297796E0
3.279229167E-1,3.731993586E-2,-2.476308584E0,7.531941682E-2,2.477734852E0
3.379429167E-1,3.257951140E-2,-2.547802687E0,7.904677093E-2,2.549236817E0
3.479639167E-1,3.307710588E-2,-2.622198582E0,8.121930808E-2,2.623664627E0
3.579839167E-1,3.000674769E-2,-2.685847521E0,7.978653163E-2,2.687199881E0
3.680039167E-1,2.831623517E-2,-2.747414827E0,8.271360397E-2,2.748805483E0
3.780239167E-1,2.539687790E-2,-2.688880444E0,8.135965466E-2,2.690230926E0
3.880439167E-1,1.500792336E-2,-2.747877121E0,8.193364739E-2,2.749139326E0
3.980649167E-1,1.593310386E-2,-2.756449938E0,8.102737367E-2,2.757686632E0
4.080849167E-1,1.714357361E-2,-2.772862911E0,7.852575928E-2,2.774027563E0
4.181049167E-1,9.939723648E-3,-2.793422699E0,7.807143033E-2,2.794531145E0
4.281249167E-1,1.187651698E-2,-2.789015532E0,7.266531885E-2,2.789987264E0
4.381449167E-1,5.956043955E-3,-2.801204920E0,6.902451068E-2,2.802061538E0
4.481659167E-1,4.488968290E-3,-2.789761782E0,6.441936642E-2,2.790509058E0
4.581859167E-1,-2.549233381E-3,-2.795934439E0,5.769329146E-2,2.796530779E0
4.682059167E-1,-1.459595468E-2,-2.815067291E0,4.125207290E-2,2.815407365E0
4.782259167E-1,-2.475351654E-2,-2.808340073E0,3.937188163E-2,2.808725128E0
4.882469167E-1,1.057602745E-2,-2.682192326E0,4.168961570E-2,2.682537148E0
4.982669167E-1,-3.951309482E-4,-2.697571516E0,4.074392468E-2,2.697879224E0
5.082869167E-1,-4.497278482E-3,-2.652211666E0,4.120879620E-2,2.652535601E0
5.183069167E-1,-2.662627026E-3,-2.600152254E0,3.724414855E-2,2.600420343E0
5.283269167E-1,-3.430918092E-3,-2.546883345E0,3.695319965E-2,2.547153722E0
5.383479167E-1,-1.909187762E-3,-2.474699736E0,3.651617467E-2,2.474969870E0
5.483679167E-1,-5.578926764E-3,-2.410940647E0,4.304205626E-2,2.411331281E0
5.583879167E-1,-4.694490694E-3,-2.345359325E0,4.684265330E-2,2.345831758E0
5.684079167E-1,-6.918061525E-3,-2.259024382E0,4.647026956E-2,2.259512891E0
5.784279167E-1,-5.188071635E-3,-2.168979168E0,5.157102272E-2,2.169598377E0
5.884489167E-1,-1.199902501E-2,-2.083505869E0,5.621622503E-2,2.084298670E0
5.984689167E-1,-1.636208221E-2,-2.001619577E0,6.522809714E-2,2.002748950E0
6.084889167E-1,-2.564685978E-2,-1.918575287E0,7.935956866E-2,1.920387157E0
6.185089167E-1,-3.585182503E-2,-1.819549084E0,1.012339815E-1,1.822715705E0
6.285289167E-1,-2.351579070E-2,-1.722390771E0,1.174006462E-1,1.726547385E0
6.385499167E-1,7.131865714E-3,-1.622846007E0,1.107773706E-1,1.626638144E0
6.485699167E-1,1.070515346E-2,-1.497574449E0,4.078778625E-2,1.498168039E0
6.585899167E-1,-3.835240379E-2,-1.313211799E0,5.748101324E-2,1.315028594E0
6.686099167E-1,-2.751820534E-2,-1.137237549E0,6.224950030E-2,1.139272353E0
6.786309167E-1,-2.118627355E-2,-1.021407843E0,7.075456530E-2,1.024074728E0
6.886509167E-1,-1.939347014E-2,-9.154123664E-1,7.496467978E-2,9.186814521E-1
6.986709167E-1,-1.439152285E-2,-7.759146690E-1,7.740014046E-2,7.798983724E-1
7.086909167E-1,-1.525858045E-2,-6.536661386E-1,8.298180997E-2,6.590889362E-1
7.187109167E-1,-1.418585889E-2,-5.343474746E-1,8.536400646E-2,5.413090391E-1
7.287319167E-1,-1.277569029E-2,-4.004936516E-1,8.400011808E-2,4.094073804E-1
7.387519167E-1,-1.299699955E-2,-2.740108073E-1,8.973736316E-2,2.886236977E-1
7.487719167E-1,-1.124796458E-2,-1.327676177E-1,9.140907973E-2,1.615839623E-1
7.587919167E-1,-7.351760287E-3,-1.877491595E-4,8.895365149E-2,8.925713272E-2
7.688119167E-1,-5.418918096E-3,1.318763196E-1,8.952344954E-2,1.594840944E-1
7.788329167E-1,-1.858271658E-3,2.637137175E-1,8.622112870E-2,2.774571336E-1
7.888529167E-1,3.518148791E-3,3.911917210E-1,8.085605502E-2,3.994759587E-1
7.988729167E-1,8.281212300E-3,5.187664628E-1,7.687330246E-2,5.244966406E-1
8.088929167E-1,1.176622510E-2,6.449552774E-1,6.884759665E-2,6.487262485E-1
8.189139167E-1,1.678095758E-2,7.737092376E-1,5.821013078E-2,7.760773184E-1
8.289339167E-1,2.239326574E-2,9.020084143E-1,4.966156930E-2,9.036519846E-1
8.389539167E-1,2.619626001E-2,1.023973465E0,3.417449072E-2,1.024878430E0
8.489739167E-1,3.456528112E-2,1.155343652E0,2.112295292E-2,1.156053585E0
8.589939167E-1,3.710833192E-2,1.281262398E0,6.939489394E-3,1.281818441E0
8.690149167E-1,4.233096913E-2,1.389839768E0,-7.393447682E-3,1.390503922E0
8.790349167E-1,4.636406153E-2,1.505292416E0,-2.058754675E-2,1.506146981E0
8.890549167E-1,5.252415687E-2,1.617961287E0,-3.277709708E-2,1.619145408E0
8.990749167E-1,5.367064849E-2,1.721043468E0,-4.461777583E-2,1.722458099E0
9.090959167E-1,5.534395576E-2,1.824907303E0,-5.374173447E-2,1.826537104E0
9.191159167E-1,5.515673757E-2,1.926796317E0,-6.281725317E-2,1.928608908E0
9.291359167E-1,5.667103454E-2,2.024418831E0,-7.030507922E-2,2.026431843E0
9.391559167E-1,5.575304478E-2,2.120878935E0,-7.451074570E-2,2.122919619E0
9.491759167E-1,5.581723154E-2,2.206974745E0,-7.647540420E-2,2.209004657E0
9.591969167E-1,5.393970385E-2,2.292191267E0,-8.189174533E-2,2.294287810E0
9.692169167E-1,5.522977933E-2,2.381920576E0,-7.989513874E-2,2.383899996E0
9.792369167E-1,5.270617083E-2,2.455224037E0,-8.425020427E-2,2.457234443E0
9.892569167E-1,5.218232423E-2,2.527043104E0,-8.264831454E-2,2.528932698E0
9.992779167E-1,4.667464271E-2,2.603020430E0,-8.475407958E-2,2.604818061E0
1.009297917E0,5.001495779E-2,2.663808584E0,-9.063973278E-2,2.665819429E0
1.019317917E0,5.352074653E-2,2.737063646E0,-9.861350060E-2,2.739362425E0
1.029337917E0,7.164870203E-2,2.685768604E0,-1.283622682E-1,2.689788729E0
1.039357917E0,6.588695198E-2,2.748920918E0,-1.321040094E-1,2.752881903E0
1.049378917E0,7.835426927E-2,2.771811485E0,-1.308365613E-1,2.776003694E0
1.059398917E0,6.125304848E-2,2.775321484E0,-3.022021241E-2,2.776161835E0
1.069418917E0,6.079210341E-2,2.805754900E0,-6.026475225E-3,2.806419883E0
1.079438917E0,6.179398298E-2,2.760197639E0,-6.656917930E-2,2.761691685E0
1.089459917E0,3.530372307E-2,2.721941710E0,-5.413328484E-2,2.722708841E0
1.099479917E0,4.378056526E-2,2.721889973E0,-5.341529846E-2,2.722766049E0
1.109499917E0,4.338226095E-2,2.701887369E0,-4.458129033E-2,2.702603350E0
1.119519917E0,4.768992588E-2,2.684088707E0,-3.848105296E-2,2.684788131E0
1.129539917E0,4.846958816E-2,2.661661625E0,-3.627274930E-2,2.662350018E0
1.139561667E0,4.529536515E-2,2.630683899E0,-3.648979589E-2,2.631326842E0
1.149581667E0,4.850283265E-2,2.590848923E0,-3.504958749E-2,2.591539916E0
1.159601667E0,5.026850849E-2,2.578050613E0,-3.273343667E-2,2.578748411E0
1.169621667E0,4.686449841E-2,2.523353815E0,-3.301437199E-2,2.524004894E0
1.179642667E0,4.705091938E-2,2.469739914E0,-3.870820999E-2,2.470491319E0
1.189662667E0,3.900995851E-2,2.416521072E0,-4.397046566E-2,2.417235874E0
1.199682667E0,3.738676012E-2,2.354508638E0,-4.952022433E-2,2.355326082E0
1.209702667E0,3.430244699E-2,2.271412134E0,-4.815192893E-2,2.272181408E0
1.219723667E0,2.929703891E-2,2.193190098E0,-5.435709283E-2,2.194059210E0
1.229743667E0,2.325620130E-2,2.113770962E0,-6.162310019E-2,2.114796902E0
1.239763667E0,1.486591063E-2,2.025331259E0,-6.315122545E-2,2.026370100E0
1.249783667E0,1.164936181E-2,1.939500332E0,-6.645618379E-2,1.940673509E0
1.259804667E0,9.926296771E-3,1.841493607E0,-6.994917989E-2,1.842848372E0
1.269824667E0,3.814895637E-3,1.739751697E0,-7.345464081E-2,1.741305862E0
1.279844667E0,-3.698681016E-3,1.646322489E0,-7.437210530E-2,1.648005651E0
1.289864667E0,-1.117869630E-3,1.581269503E0,-6.230652705E-2,1.582496949E0
1.299884667E0,-1.015317626E-2,1.456445336E0,-8.219102025E-2,1.458797953E0
1.309905667E0,-2.082642354E-2,1.277791142E0,-8.175732940E-2,1.280573389E0
1.319925667E0,-2.117902599E-2,1.112614751E0,-8.784318715E-2,1.116277994E0
1.329945667E0,-3.034243360E-2,1.018041253E0,-8.417009562E-2,1.021965391E0
1.339965667E0,-3.143619373E-2,9.177719355E-1,-8.593976498E-2,9.223227217E-1
1.349986667E0,-3.536409140E-2,8.145557642E-1,-8.372774720E-2,8.196109123E-1
1.360006667E0,-3.800115362E-2,6.899254322E-1,-7.971303165E-2,6.955539929E-1
1.370026667E0,-3.819616511E-2,5.561965704E-1,-7.873533666E-2,5.630389198E-1
1.380046667E0,-4.029899836E-2,4.228650928E-1,-7.760828733E-2,4.318123924E-1
1.390067667E0,-4.397549853E-2,3.101885915E-1,-7.491099089E-2,3.221218144E-1
1.400087667E0,-4.516113922E-2,1.954939663E-1,-7.380018383E-2,2.137846732E-1
1.410107667E0,-4.232638702E-2,6.367197633E-2,-7.218006998E-2,1.051456424E-1
1.420127667E0,-4.013380781E-2,-6.466042995E-2,-6.794351339E-2,1.020196782E-1
1.430147667E0,-4.059281200E-2,-1.849607080E-1,-6.599692255E-2,2.005338717E-1
1.440168667E0,-3.684441373E-2,-3.053720891E-1,-6.071560457E-2,3.135219423E-1
1.450188667E0,-3.425671160E-2,-4.222761989E-1,-5.549682304E-2,4.272828194E-1
1.460208667E0,-3.136425093E-2,-5.454340577E-1,-4.958806932E-2,5.485809003E-1
1.470228667E0,-2.504849061E-2,-6.596499085E-1,-4.327088594E-2,6.615419853E-1
1.480249667E0,-1.916583441E-2,-7.786958814E-1,-3.806200996E-2,7.798610911E-1
1.490269667E0,-1.532535069E-2,-8.922001123E-1,-2.952157892E-2,8.928199317E-1
1.500289667E0,-9.937243536E-3,-1.008845687E0,-1.966308989E-2,1.009086223E0
1.510309667E0,-3.793905023E-3,-1.127658010E0,-1.221292559E-2,1.127730524E0
1.520330667E0,5.967645440E-3,-1.255889654E0,-3.093995620E-3,1.255907644E0
1.530350667E0,9.148472920E-3,-1.364200234E0,5.981333088E-3,1.364244022E0
1.540370667E0,1.430488471E-2,-1.469977021E0,1.664303243E-2,1.470140831E0
1.550390667E0,1.964952797E-2,-1.581502199E0,2.041821554E-2,1.581756054E0
1.560411667E0,2.170628682E-2,-1.678569317E0,2.950625122E-2,1.678968949E0
1.570431667E0,2.819012105E-2,-1.781252265E0,4.148284718E-2,1.781958232E0
1.580451667E0,2.875311300E-2,-1.877447248E0,4.879082739E-2,1.878301215E0
1.590471667E0,2.945717983E-2,-1.971286058E0,5.412550271E-2,1.972248975E0
1.600492667E0,2.816581167E-2,-2.061027527E0,5.809814110E-2,2.062038596E0
1.610512667E0,2.496097796E-2,-2.152188301E0,6.223040447E-2,2.153232490E0
1.620532667E0,2.618816122E-2,-2.234625816E0,6.594710797E-2,2.235752084E0
1.630552667E0,2.767522074E-2,-2.318315268E0,7.101438940E-2,2.319567770E0
1.640573667E0,2.472630329E-2,-2.386051178E0,7.003115118E-2,2.387206731E0
1.650593667E0,2.389818430E-2,-2.458461761E0,7.169598341E-2,2.459623075E0
1.660613667E0,2.104354091E-2,-2.525924683E0,7.114284486E-2,2.527013976E0
1.670633667E0,2.008769289E-2,-2.593044043E0,7.179635018E-2,2.594115579E0
1.680654667E0,1.349876542E-2,-2.623169661E0,7.331488281E-2,2.624228717E0
1.690674667E0,1.805094443E-2,-2.585988522E0,7.247766852E-2,2.587066965E0
1.700694667E0,5.530625116E-3,-2.641450167E0,7.078123838E-2,2.642404124E0
1.710714667E0,6.854984909E-3,-2.649781704E0,6.859405339E-2,2.650678255E0
